id,title,category,vdocipherVideoId,orderIndex,folderOrder
sup_001_01,"001 - Représentation des Nombres Dans la Machine:::001 - Représentation des Nombres dans la Machine (Séance 1).mp4",SUP,5875167725b7467ca924806fbf6b5fa6,1,1
sup_001_02,"001 - Représentation des Nombres Dans la Machine:::002 - Représentation des Nombres dans la Machine (Séance 2).mp4",SUP,14532e3cca0a43b0a9cac97a6c2c7de6,2,1
sup_001_03,"001 - Représentation des Nombres Dans la Machine:::003 - Représentation des Nombres dans la Machine - Exercices.mp4",SUP,b99a7e5a025140a8afdbb65d4b45c8b6,3,1
sup_002_01,"002 - Introduction au Langage Python:::001 - Introduction au Langage Python - Cours.mp4",SUP,fcc4b720721b44af8c88043d1ea52f9b,1,2
sup_002_02,"002 - Introduction au Langage Python:::002 - Introduction au Langage Python - Exercices.mp4",SUP,16258cd56ae14d0a997ba582bd094ee4,2,2
sup_003_01,"003 - Structures Conditionnelles (if/else/elif):::Structures Conditionnelles (if-else-elif) - Cours & Exercices.mp4",SUP,f685d97b499749969b32962b6b00e5be,1,3
sup_004_01,"004 - Structures Répétitives (Les boucles for et while):::Structures Répétitives (Les Boucles for et while) - Cours & Exercices.mp4",SUP,eaa94a0071244e8c8019883079072e68,1,4
sup_005_01,"005 - Les Fonctions:::001 - Les Fonctions - Cours.mp4",SUP,42b4956116d043148d8247fecdaf8950,1,5
sup_005_02,"005 - Les Fonctions:::002 - Les Fonctions - Exercices.mp4",SUP,f99c0c9073ea42aaa69c0dc2edef9f36,2,5
sup_006_01,"006 - Terminaison & Correction:::Terminaison et Correction - Cours & Exercices.mp4",SUP,063b5340f35441bcac99b2120285a668,1,6
sup_007_01,"007 - Les Listes:::001 - Les Listes - Cours.mp4",SUP,4f0070af897a41608bff926b088b22fe,1,7
sup_007_02,"007 - Les Listes:::002 - Les Listes - Exercices.mp4",SUP,2a6e9644b5e848bbaa05b7019a7fbe27,2,7
sup_007_03,"007 - Les Listes:::003 - Les Tris - Cours & Exercices.mp4",SUP,1259ebad928a4408863f60a419b89ef3,3,7
sup_008_01,"008 - Les Chaînes de Caractères:::001 - Les Chaînes de Caractères - Cours.mp4",SUP,97606482d21e4d50854b3488d366337f,1,8
sup_008_02,"008 - Les Chaînes de Caractères:::002 - Les Chaînes de Caractères - Exercices.mp4",SUP,c25a551cf6a543b192e2d4b9f8078610,2,8
sup_009_01,"009 - Les Tuples Les Dictionnaires, Les Ensembles:::001 - Les Tuples, Les Dictionnaires et Les Ensembles - Cours.mp4",SUP,973341db90c54fccb2043b59fa2b68ab,1,9
sup_009_02,"009 - Les Tuples, Les Dictionnaires et Les Ensembles:::002 - Les Tuples, Les Dictionnaires et Les Ensembles - Exercices.mp4",SUP,ae5c8fc2330f43aaa11f4e6e035ccdc2,2,9
sup_010_01,"010 - Les Tableaux (Les Matrices):::Les Tableaux (Les Matrices) - Cours & Exercices.mp4",SUP,54876def995e4173a9e5f72fe10c0655,1,10
sup_011_01,"011 - Ingénierie Numérique:::001 - Ingénierie Numérique - Equations f(x) = 0 & Intégration Numérique.mp4",SUP,70a3082ad0f74054b31378a5b7b3c626,1,11
sup_011_02,"011 - Ingénierie Numérique:::002 - Ingénierie Numérique - Bibliothèques math & numpy.mp4",SUP,387e65b070544cc99732d890fd0e4730,2,11
sup_011_03,"011 - Ingénierie Numérique:::003 - Ingénierie Numérique - Bibliothèques Matplotlib & Scipy + Equa Diff.mp4",SUP,4b12fe9091854a76b0862cb03de22b59,3,11
sup_012_01,"012 - Les Piles et Les Files:::Les Piles et Les Files - Cours & Exercices.mp4",SUP,60fbb773948d4063b6249cd132613737,1,12
sup_013_01,"013 - Les Fichiers:::Les Fichiers - Cours & Exercices.mp4",SUP,5a45086e9b4549f6939c3e03775681f5,1,13
sup_014_01,"014 - Traitement des Images:::Traitement des Images - Cours & Exercices.mp4",SUP,7405e708a1f44971be779a74aa836173,1,14
sup_015_01,"015 - La Récursivité:::La Récursivité - Cours & Exercices.mp4",SUP,7c87477d0701486f9a651fe19775e655,1,15
sup_016_01,"016 - Devoirs Libres Corrigés:::001 - Corrigé du DL N°1.mp4",SUP,a541dc3f3d084f48af055405c7a61053,1,16
sup_016_02,"016 - Devoirs Libres Corrigés:::002 - Corrigé du DL N°2.mp4",SUP,e6c95c4bad47417bb23f024b780dff5e,2,16
spe_001_01,"001 - Révision SUP:::001 - Révision SUP (Partie 1).mp4",SPE,e39c61bcc8884ea39596b10917076cb5,1,1
spe_001_02,"001 - Révision SUP:::002 - Révision SUP (Partie 2).mp4",SPE,15de59bc8eab4dee85b36cf11e60d41f,2,1
spe_002_01,"002 - La Complexité Temporelle:::001 - La Complexité Temporelle - Cours & Exercices (Partie 1).mp4",SPE,bfda2b5ee1a74e6a83b557e4283267b0,1,2
spe_002_02,"002 - La Complexité Temporelle:::002 - La Complexité Temporelle - Cours & Exercices (Partie 2).mp4",SPE,45f3b24ca0594abe935bba1fa7df968d,2,2
spe_002_03,"002 - La Complexité Temporelle:::003 - La Complexité Temporelle - Cours & Exercices (Partie 3).mp4",SPE,fb8f5b7b186c4fcda0348da5aba79ff5,3,2
spe_003_01,"003 - Les Tris et Leurs Complexités:::001 - Les Tris et leurs Complexités - Cours & Exercices (Partie 1).mp4",SPE,867eb4351d494d8bb0814eafb5891a56,1,3
spe_003_02,"003 - Les Tris et Leurs Complexités:::002 - Les Tris et leurs Complexités - Cours & Exercices (Partie 2).mp4",SPE,370453350a0e4f1eb87f3b3026ee4f6d,2,3
